url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201311160MIN.html	8:00 pm	Minnesota Timberwolves		Boston Celtics		
/boxscores/201311160NOP.html	8:00 pm	New Orleans Pelicans		Philadelphia 76ers		
/boxscores/201311160NYK.html	7:30 pm	New York Knicks		Atlanta Hawks		
/boxscores/201311160ORL.html	7:00 pm	Orlando Magic		Dallas Mavericks		
/boxscores/201311160WAS.html	7:00 pm	Washington Wizards		Cleveland Cavaliers		
/boxscores/201311170LAL.html	9:30 pm	Los Angeles Lakers		Detroit Pistons		
/boxscores/201311170SAC.html	6:00 pm	Sacramento Kings		Memphis Grizzlies		
/boxscores/201311170TOR.html	1:00 pm	Toronto Raptors		Portland Trail Blazers		
/boxscores/201311180BRK.html	7:30 pm	Brooklyn Nets		Portland Trail Blazers		
/boxscores/201311180CHI.html	8:00 pm	Chicago Bulls		Charlotte Bobcats		
/boxscores/201311180DAL.html	8:30 pm	Dallas Mavericks		Philadelphia 76ers		
/boxscores/201311180LAC.html	10:30 pm	Los Angeles Clippers		Memphis Grizzlies		
/boxscores/201311180OKC.html	8:00 pm	Oklahoma City Thunder		Denver Nuggets		
/boxscores/201311180UTA.html	9:00 pm	Utah Jazz		Golden State Warriors		
/boxscores/201311190DET.html	7:30 pm	Detroit Pistons		New York Knicks		
/boxscores/201311190HOU.html	8:00 pm	Houston Rockets		Boston Celtics		
/boxscores/201311190MIA.html	7:30 pm	Miami Heat		Atlanta Hawks		
/boxscores/201311190SAC.html	10:00 pm	Sacramento Kings		Phoenix Suns		
/boxscores/201311190WAS.html	7:00 pm	Washington Wizards		Minnesota Timberwolves		
/boxscores/201311200ATL.html	7:30 pm	Atlanta Hawks		Detroit Pistons		
/boxscores/201311200CHA.html	7:00 pm	Charlotte Bobcats		Brooklyn Nets		
/boxscores/201311200CLE.html	7:00 pm	Cleveland Cavaliers		Washington Wizards		
/boxscores/201311200DAL.html	9:30 pm	Dallas Mavericks		Houston Rockets		
/boxscores/201311200GSW.html	10:30 pm	Golden State Warriors		Memphis Grizzlies		
/boxscores/201311200MIL.html	8:00 pm	Milwaukee Bucks		Portland Trail Blazers		
/boxscores/201311200MIN.html	8:00 pm	Minnesota Timberwolves		Los Angeles Clippers		
